stock_code,symbol,name,category,sub_category,reason,avg_turnover_30d_hkd,valid_days
6822,6822.HK,KING'S FLAIR,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,10744.67,43
6826,6826.HK,HAOHAI BIOTEC,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,3239933.2,43
6828,6828.HK,BG BLUE SKY,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,992475.91,43
6829,6829.HK,DRAGON RISE GP,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,79726.0,43
6830,6830.HK,HUAZHONG IN-V,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,40430.2,43
6831,6831.HK,GREEN TEA GROUP,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,5199136.6,43
6833,6833.HK,SINCO PHARMA,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,21729.6,43
6838,6838.HK,WINOX,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,3551.33,43
6839,6839.HK,YUNNAN WATER,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,6095.03,42
6858,6858.HK,HONMAGOLF,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,74767.67,42
6860,6860.HK,FINGERTANGO,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,110918.93,42
6866,6866.HK,ZUOLI KECHUANG,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,10627.67,42
6868,6868.HK,TENFU,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,6628.0,43
6872,6872.HK,TENNOR THERAP-B,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,11264281.33,43
6877,6877.HK,TE HEALTHCARE,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,8220.5,43
6878,6878.HK,DIFFER GP AUTO,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,0.0,42
6882,6882.HK,EGL HOLDINGS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,52187.33,43
6883,6883.HK,ETERNAL BEAUTY,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,0.0,42
6885,6885.HK,JINMA ENERGY,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,136191.33,43
6888,6888.HK,FREETECH,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,3854.6,42
6889,6889.HK,DYNAM JAPAN,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,294632.22,43
6890,6890.HK,KANGLI INT HLDG,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,64708.67,43
6893,6893.HK,HINSANG GROUP,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,40884.27,43
6896,6896.HK,GOLDEN THROAT,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,846359.68,43
6898,6898.HK,CHINA ALUMCAN,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,777144.01,43
6899,6899.HK,OURGAME,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,0.0,42
6908,6908.HK,HG SEMI,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,555507.83,43
6909,6909.HK,BETTERLIFE HLDG,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,40236.97,42
6911,6911.HK,LANCANG TEA,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,16164.67,43
6913,6913.HK,SCVE GROUP,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,51849.67,43
6918,6918.HK,KIDZTECH,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,720804.14,43
6919,6919.HK,RENRUI HR,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,360827.3,43
6922,6922.HK,CRYOFOCUS-B,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,145061.73,43
6928,6928.HK,TOMO HOLDINGS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,22548.0,43
6929,6929.HK,ORBUSNEICH,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,358886.34,43
6933,6933.HK,SINO-ENTERTAIN,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,1742572.0,43
6939,6939.HK,MEGAIN,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,13290309.96,43
6958,6958.HK,ZHENRO SERVICES,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,96136.9,43
6959,6959.HK,CHANGJIU HLDGS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,21262.77,42
6960,6960.HK,SHUANGDENG,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,2448002.74,43
6966,6966.HK,C WAN TONG YUAN,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,2090.0,42
6968,6968.HK,GANGLONG CHINA,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,125776.4,43
6978,6978.HK,IMMUNOTECH-B,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,153751.09,43
6980,6980.HK,BAMA TEA,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,2553752.64,43
6988,6988.HK,JOY SPREADER,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,218653.03,43
6989,6989.HK,EXCELLENCE CM,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,106363.33,43
6993,6993.HK,BLUE MOON GROUP,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,5681394.01,43
6996,6996.HK,ANTENGENE-B,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,6382066.46,43
6998,6998.HK,EDDING GENOR,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,1494431.16,43
6999,6999.HK,LEADING HLDGS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,0.0,42
7233,7233.HK,XL2CSOPCSI300,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,7836766.23,43
7261,7261.HK,FL2CAMNDQ100,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,637867.26,43
7262,7262.HK,FL2 CSOP NIKKEI,Exchange Traded Products,Leveraged and Inverse,avg_turnover_30d_below_15m_hkd,4750165.1,43
