stock_code,symbol,name,category,sub_category,currency
0202,0202.HK,EVERCHINA INT'L,Equity,Equity Securities (Main Board),HKD
0204,0204.HK,CAPITAL REALM,Equity,Investment Companies,HKD
0205,0205.HK,BFB HEALTH,Equity,Equity Securities (Main Board),HKD
0206,0206.HK,CM-ENERGY,Equity,Equity Securities (Main Board),HKD
0209,0209.HK,POLY XVERSE IT,Equity,Equity Securities (Main Board),HKD
0210,0210.HK,DAPHNE INT'L,Equity,Equity Securities (Main Board),HKD
0211,0211.HK,STYLAND HOLD,Equity,Equity Securities (Main Board),HKD
0212,0212.HK,NANYANG HOLD,Equity,Equity Securities (Main Board),HKD
0213,0213.HK,NATIONAL ELEC H,Equity,Equity Securities (Main Board),HKD
0214,0214.HK,ASIA ORIENT,Equity,Equity Securities (Main Board),HKD
0215,0215.HK,HUTCHTEL HK,Equity,Equity Securities (Main Board),HKD
0216,0216.HK,CHINNEY INV,Equity,Equity Securities (Main Board),HKD
0217,0217.HK,CHINA CHENGTONG,Equity,Equity Securities (Main Board),HKD
0218,0218.HK,SWHYHK,Equity,Equity Securities (Main Board),HKD
0219,0219.HK,SHUNHO PROPERTY,Equity,Equity Securities (Main Board),HKD
0220,0220.HK,U-PRESID CHINA,Equity,Equity Securities (Main Board),HKD
0222,0222.HK,MIN XIN HOLD,Equity,Equity Securities (Main Board),HKD
0223,0223.HK,ELIFE HLDGS,Equity,Equity Securities (Main Board),HKD
0224,0224.HK,PIONEER GLOBAL,Equity,Equity Securities (Main Board),HKD
0225,0225.HK,POKFULAM,Equity,Equity Securities (Main Board),HKD
0227,0227.HK,FIRST SHANGHAI,Equity,Equity Securities (Main Board),HKD
0228,0228.HK,CHINA ENERGY,Equity,Equity Securities (Main Board),HKD
0229,0229.HK,RAYMOND IND,Equity,Equity Securities (Main Board),HKD
0232,0232.HK,CON AERO TECH,Equity,Equity Securities (Main Board),HKD
0234,0234.HK,NEW CENTURY GP,Equity,Equity Securities (Main Board),HKD
0235,0235.HK,CSC HOLDINGS,Equity,Equity Securities (Main Board),HKD
0236,0236.HK,SAN MIGUEL HK,Equity,Equity Securities (Main Board),HKD
0237,0237.HK,SAFETY GODOWN,Equity,Equity Securities (Main Board),HKD
0239,0239.HK,PAK FAH YEOW,Equity,Equity Securities (Main Board),HKD
0240,0240.HK,BUILD KING HOLD,Equity,Equity Securities (Main Board),HKD
0241,0241.HK,ALI HEALTH,Equity,Equity Securities (Main Board),HKD
0242,0242.HK,SHUN TAK HOLD,Equity,Equity Securities (Main Board),HKD
0243,0243.HK,QPL INT'L,Equity,Equity Securities (Main Board),HKD
0244,0244.HK,SINCERE,Equity,Equity Securities (Main Board),HKD
0245,0245.HK,CHINA VERED FIN,Equity,Equity Securities (Main Board),HKD
0247,0247.HK,TST PROPERTIES,Equity,Equity Securities (Main Board),HKD
0248,0248.HK,HKC INT'L HOLD,Equity,Equity Securities (Main Board),HKD
0251,0251.HK,SEA HOLDINGS,Equity,Equity Securities (Main Board),HKD
0252,0252.HK,SE ASIA PPT,Equity,Equity Securities (Main Board),HKD
0253,0253.HK,SHUNHO HOLDINGS,Equity,Equity Securities (Main Board),HKD
0254,0254.HK,NUR HOLDINGS,Equity,Equity Securities (Main Board),HKD
0255,0255.HK,LUNG KEE,Equity,Equity Securities (Main Board),HKD
